DBN,SAT,REGENTS,CLUSTER,GRADE,GRADRATE
32K552,LOW,MED,LOW,C,MED
32K554,HIGH,HIGH,MED,C,HIGH
32K554,HIGH,HIGH,MED,A,HIGH
32K556,LOW,LOW,LOW,C,LOW
32K564,LOW,<NA>,<NA>,C,LOW
32K793,<NA>,<NA>,<NA>,<NA>,<NA>
75K036,<NA>,<NA>,<NA>,<NA>,<NA>
75K053,<NA>,<NA>,<NA>,A,<NA>
75K077,<NA>,<NA>,<NA>,<NA>,<NA>
75K141,<NA>,<NA>,<NA>,<NA>,<NA>
75K368,<NA>,<NA>,<NA>,F,<NA>
75K369,<NA>,<NA>,<NA>,C,<NA>
75K371,<NA>,<NA>,<NA>,<NA>,<NA>
75K373,<NA>,<NA>,<NA>,<NA>,<NA>
75K396,<NA>,<NA>,<NA>,<NA>,<NA>
75K721,<NA>,<NA>,<NA>,<NA>,<NA>
75K753,<NA>,<NA>,<NA>,<NA>,<NA>
75M035,<NA>,<NA>,<NA>,<NA>,<NA>
75M079,<NA>,<NA>,<NA>,<NA>,<NA>
75M138,<NA>,<NA>,<NA>,<NA>,<NA>
75M169,<NA>,<NA>,<NA>,B,<NA>
75M226,<NA>,<NA>,<NA>,<NA>,<NA>
75M401,<NA>,<NA>,<NA>,<NA>,<NA>
75M501,<NA>,<NA>,<NA>,<NA>,<NA>
75M721,<NA>,<NA>,<NA>,<NA>,<NA>
75M751,<NA>,<NA>,<NA>,<NA>,<NA>
75Q004,<NA>,<NA>,<NA>,D,<NA>
75Q009,<NA>,<NA>,<NA>,B,<NA>
75Q023,<NA>,<NA>,<NA>,<NA>,<NA>
75Q075,<NA>,<NA>,<NA>,A,<NA>
75Q177,<NA>,<NA>,<NA>,<NA>,<NA>
75Q233,<NA>,<NA>,<NA>,<NA>,<NA>
75Q255,<NA>,<NA>,<NA>,<NA>,<NA>
75Q256,<NA>,<NA>,<NA>,A,<NA>
75Q721,<NA>,<NA>,<NA>,<NA>,<NA>
75Q811,HIGH,<NA>,<NA>,<NA>,<NA>
75Q993,<NA>,<NA>,<NA>,<NA>,<NA>
75R025,<NA>,<NA>,<NA>,B,<NA>
75R037,<NA>,<NA>,<NA>,<NA>,<NA>
75R721,<NA>,<NA>,<NA>,<NA>,<NA>
75X010,<NA>,<NA>,<NA>,A,<NA>
